time,1,2
2010-02-01 21:30:00,0.52,0.53
2010-02-01 21:40:00,0.54,0.55
2010-02-01 21:50:00,0.57,0.58
2010-02-01 22:00:00,0.59,0.6
2010-02-01 22:10:00,0.61,0.61
2010-02-01 22:20:00,0.62,0.63
2010-02-01 22:30:00,0.63,0.64
2010-02-01 22:40:00,0.64,0.64
2010-02-01 22:50:00,0.64,0.64
2010-02-01 23:00:00,0.64,0.64
2010-02-01 23:10:00,0.63,0.64
2010-02-01 23:20:00,0.63,0.63
2010-02-01 23:30:00,0.62,0.62
2010-02-01 23:40:00,0.61,0.61
2010-02-01 23:50:00,0.6,0.6
2010-02-02 00:00:00,0.59,0.59
